Germany,India,Italy,South Korea,New Zealand,Singapore,Somalia,Uganda,UK,USA
260817,4754356,286297,22176,1797,57357,3376,4703,367594,6488563
261737,4846427,287753,22285,1798,57406,3389,4799,370932,6522914
263222,4930236,288761,22391,1801,57454,3389,4978,373557,6557342
265014,5020359,289990,22504,1802,57488,3390,5123,376672,6596849
266869,5118253,291442,22657,1809,57514,3390,5266,380679,6635867
269048,5214677,293025,22783,1809,57532,3390,5380,384089,6681004
271247,5308014,294932,22893,1811,57543,3390,5594,388418,6730288
272932,5400619,296569,22975,1815,57558,3401,6017,392847,6772447
273965,5487580,298156,23045,1815,57576,3442,6287,396746,6810862
275560,5562663,299506,23106,1815,57606,3465,6468,401124,6862834
277412,5646010,300897,23216,1824,57627,3465,6712,406060,6902696
279025,5732518,302537,23341,1827,57639,3465,6879,412247,6941758
281346,5818570,304323,23455,1829,57654,3465,7064,418891,6988869
283712,5903932,306235,23516,1831,57665,3465,7218,425769,7037151
285026,5992532,308104,23611,1833,57685,3588,7364,431819,7081803
286339,6074702,309870,23661,1833,57700,3588,7530,437519,7119311
288631,6145291,311364,23699,1835,57715,3588,7777,441575,7152546
290471,6225763,313011,23812,1836,57742,3588,8017,448731,7195994
292913,6312584,314861,23889,1848,57765,3588,8129,455848,7235428
295539,6394068,317409,23952,1848,57784,3593,8287,462777,7281081
298374,6473544,319908,24027,1849,57794,3593,8491,469771,7336043
300027,6549373,322751,24091,1854,57800,3593,8662,482656,7384578
301573,6623815,325329,24164,1855,57812,3745,8808,505621,7420293
304673,6685082,327586,24239,1858,57819,3745,8965,518224,7459742
307127,6757131,330263,24353,1861,57830,3745,9082,532781,7504998
311137,6835655,333940,24422,1864,57840,3745,9260,546954,7556060
315941,6906151,338398,24476,1866,57849,3745,9442,564504,7614653
320495,6979423,343770,24548,1870,57859,3745,9538,578392,7671034
323463,7053806,349494,24606,1871,57866,3847,9701,593567,7725952
326309,7120538,354950,24703,1871,57876,3864,9801,606449,7771893
332850,7175880,359569,24805,1872,57880,3864,9864,620460,7813735
337314,7239389,365467,24889,1874,57884,3864,9945,637710,7865983
344487,7307097,372799,24988,1876,57889,3864,10069,657461,7925748
352107,7370468,381602,25035,1880,57892,3864,10117,676457,7990636
359802,7432680,391611,25108,1883,57901,3864,10334,692114,8059782
364664,7494551,402536,25199,1886,57904,3864,10455,708300,8116518
368671,7550273,414241,25275,1886,57911,3864,10590,725294,8165858
377068,7597063,423578,25333,1887,57915,3890,10691,744124,8233610
385591,7651107,434449,25424,1912,57921,3890,10788,765489,8295581
397922,7706946,449648,25543,1914,57933,3890,10933,792196,8358864
403874,7761312,465726,25698,1923,57941,3897,11041,813453,8435164
417350,7814682,484869,25775,1934,57951,3897,11163,834012,8517113
